Entity,Code,Year,Cumulative CO₂ emissions including land-use change
World,OWID_WRL,1850,2910870000
World,OWID_WRL,1851,5930416000
World,OWID_WRL,1852,9055361000
World,OWID_WRL,1853,12208048000
World,OWID_WRL,1854,15438645000
World,OWID_WRL,1855,18726726000
World,OWID_WRL,1856,22048838000
World,OWID_WRL,1857,25421703000
World,OWID_WRL,1858,28819673000
World,OWID_WRL,1859,32278157000
World,OWID_WRL,1860,35506434000
World,OWID_WRL,1861,38622237000
World,OWID_WRL,1862,41670484000
World,OWID_WRL,1863,44712845000
World,OWID_WRL,1864,47808913000
World,OWID_WRL,1865,50852045000
World,OWID_WRL,1866,53922080000
World,OWID_WRL,1867,56977904000
World,OWID_WRL,1868,60035658000
World,OWID_WRL,1869,63116360000
World,OWID_WRL,1870,66563908000
World,OWID_WRL,1871,70130730000
World,OWID_WRL,1872,73919500000
World,OWID_WRL,1873,77799150000
World,OWID_WRL,1874,81738510000
World,OWID_WRL,1875,85751775000
World,OWID_WRL,1876,89829876000
World,OWID_WRL,1877,94010565000
World,OWID_WRL,1878,98251720000
World,OWID_WRL,1879,102600114000
World,OWID_WRL,1880,107081460000
World,OWID_WRL,1881,111573080000
World,OWID_WRL,1882,116194920000
World,OWID_WRL,1883,120936940000
World,OWID_WRL,1884,125696000000
World,OWID_WRL,1885,130468630000
World,OWID_WRL,1886,135251700000
World,OWID_WRL,1887,140144800000
World,OWID_WRL,1888,145146600000
World,OWID_WRL,1889,150183720000
World,OWID_WRL,1890,155607330000
World,OWID_WRL,1891,161183070000
World,OWID_WRL,1892,166745300000
World,OWID_WRL,1893,172327350000
World,OWID_WRL,1894,178043300000
World,OWID_WRL,1895,183829330000
World,OWID_WRL,1896,189680060000
World,OWID_WRL,1897,195673920000
World,OWID_WRL,1898,201772140000
World,OWID_WRL,1899,208063580000
World,OWID_WRL,1900,214487190000
World,OWID_WRL,1901,221098260000
World,OWID_WRL,1902,227802970000
World,OWID_WRL,1903,234730670000
World,OWID_WRL,1904,241792830000
World,OWID_WRL,1905,249037290000
World,OWID_WRL,1906,256457790000
World,OWID_WRL,1907,264236630000
World,OWID_WRL,1908,271948350000
World,OWID_WRL,1909,279855170000
World,OWID_WRL,1910,287703600000
World,OWID_WRL,1911,295566400000
World,OWID_WRL,1912,303487650000
World,OWID_WRL,1913,311632760000
World,OWID_WRL,1914,319457230000
World,OWID_WRL,1915,327158600000
World,OWID_WRL,1916,335100150000
World,OWID_WRL,1917,343115900000
World,OWID_WRL,1918,351038800000
World,OWID_WRL,1919,358465140000
World,OWID_WRL,1920,366788600000
World,OWID_WRL,1921,374889220000
World,OWID_WRL,1922,383210550000
World,OWID_WRL,1923,392081700000
World,OWID_WRL,1924,400911730000
World,OWID_WRL,1925,409901240000
World,OWID_WRL,1926,418844870000
World,OWID_WRL,1927,428129030000
World,OWID_WRL,1928,437452000000
World,OWID_WRL,1929,447122670000
World,OWID_WRL,1930,456518830000
World,OWID_WRL,1931,465582460000
World,OWID_WRL,1932,474340400000
World,OWID_WRL,1933,483223960000
World,OWID_WRL,1934,492454580000
World,OWID_WRL,1935,501801840000
World,OWID_WRL,1936,511654630000
World,OWID_WRL,1937,521777280000
World,OWID_WRL,1938,531672760000
World,OWID_WRL,1939,541778480000
World,OWID_WRL,1940,552406550000
World,OWID_WRL,1941,563296800000
World,OWID_WRL,1942,574184600000
World,OWID_WRL,1943,585154170000
World,OWID_WRL,1944,596142700000
World,OWID_WRL,1945,606295400000
World,OWID_WRL,1946,616731600000
World,OWID_WRL,1947,627675040000
World,OWID_WRL,1948,638847700000
World,OWID_WRL,1949,649735050000
World,OWID_WRL,1950,662319460000
World,OWID_WRL,1951,675898460000
World,OWID_WRL,1952,689617400000
World,OWID_WRL,1953,703652040000
World,OWID_WRL,1954,718248600000
World,OWID_WRL,1955,733686800000
World,OWID_WRL,1956,749673640000
World,OWID_WRL,1957,766139800000
World,OWID_WRL,1958,782769700000
World,OWID_WRL,1959,800317640000
World,OWID_WRL,1960,817315100000
World,OWID_WRL,1961,834360300000
World,OWID_WRL,1962,851245900000
World,OWID_WRL,1963,868466000000
World,OWID_WRL,1964,885950450000
World,OWID_WRL,1965,903646500000
World,OWID_WRL,1966,921426200000
World,OWID_WRL,1967,939914100000
World,OWID_WRL,1968,959146560000
World,OWID_WRL,1969,979848860000
World,OWID_WRL,1970,1001437660000
World,OWID_WRL,1971,1023080900000
World,OWID_WRL,1972,1045743600000
World,OWID_WRL,1973,1069075140000
World,OWID_WRL,1974,1092386100000
World,OWID_WRL,1975,1115498100000
World,OWID_WRL,1976,1139420800000
World,OWID_WRL,1977,1164399000000
World,OWID_WRL,1978,1189987600000
World,OWID_WRL,1979,1215352000000
World,OWID_WRL,1980,1240763100000
World,OWID_WRL,1981,1265479500000
World,OWID_WRL,1982,1289740700000
World,OWID_WRL,1983,1314482400000
World,OWID_WRL,1984,1340364400000
World,OWID_WRL,1985,1367297000000
World,OWID_WRL,1986,1394678400000
World,OWID_WRL,1987,1422282600000
World,OWID_WRL,1988,1450358000000
World,OWID_WRL,1989,1478539000000
World,OWID_WRL,1990,1507100200000
World,OWID_WRL,1991,1536026100000
World,OWID_WRL,1992,1564514500000
World,OWID_WRL,1993,1592997600000
World,OWID_WRL,1994,1622641100000
World,OWID_WRL,1995,1652435800000
World,OWID_WRL,1996,1683211200000
World,OWID_WRL,1997,1715611100000
World,OWID_WRL,1998,1746699000000
World,OWID_WRL,1999,1778098600000
World,OWID_WRL,2000,1809755900000
World,OWID_WRL,2001,1840909500000
World,OWID_WRL,2002,1873268600000
World,OWID_WRL,2003,1908242500000
World,OWID_WRL,2004,1943296400000
World,OWID_WRL,2005,1978826500000
World,OWID_WRL,2006,2015454300000
World,OWID_WRL,2007,2052546800000
World,OWID_WRL,2008,2090547500000
World,OWID_WRL,2009,2128595400000
World,OWID_WRL,2010,2168430800000
World,OWID_WRL,2011,2209303500000
